date;CRC_ID;observed;predicted_circuit
10/07/2017;7750;35,14;36,21344677
17/07/2017;7750;27,72;35,92088076
24/07/2017;7750;42,2;33,6860838
31/07/2017;7750;32,68;36,00599911
07/08/2017;7750;30,82;35,09975236
14/08/2017;7750;26,8;30,52321012
21/08/2017;7750;30,12;32,9192179
28/08/2017;7750;31,62;32,1565361
04/09/2017;7750;32,34;32,01035064
11/09/2017;7750;35,06;32,10016726
18/09/2017;7750;35,32;32,90660572
25/09/2017;7750;29,6;33,56416078
02/10/2017;7750;31,94;29,07363392
09/10/2017;7750;36,52;33,26505485
16/10/2017;7750;37,28;34,15189902
23/10/2017;7750;35,42;35,00418313
30/10/2017;7750;33;31,70702765
06/11/2017;7750;34,26;35,46976076
13/11/2017;7750;33,78;35,1401487
20/11/2017;7750;34,96;34,76956185
27/11/2017;7750;28,3;31,41099956
04/12/2017;7750;30,52;30,56337495
11/12/2017;7750;30,8;33,96200616
18/12/2017;7750;31,82;33,10048427
25/12/2017;7750;29,2;29,34115367
01/01/2018;7750;35,74;29,30269486
08/01/2018;7750;34,86;34,46705564
15/01/2018;7750;29,84;34,57411747
22/01/2018;7750;35,92;33,28425729
29/01/2018;7750;33,52;34,00239316
05/02/2018;7750;32,36;33,87096006
12/02/2018;7750;29,56;33,45928307
19/02/2018;7750;33,48;32,39688232
26/02/2018;7750;35,92;32,69198914
05/03/2018;7750;34,84;33,57149471
12/03/2018;7750;35,64;33,91711234
19/03/2018;7750;37,22;34,38653124
26/03/2018;7750;29,16;28,3376413
02/04/2018;7750;37,26;35,38259994
09/04/2018;7750;40,68;35,89411737
16/04/2018;7750;35,5;37,19808151
23/04/2018;7750;34,88;33,32497214
30/04/2018;7750;36,28;33,74865586
07/05/2018;7750;38,24;37,84879642
14/05/2018;7750;33,26;37,95538396
21/05/2018;7750;37,72;36,67607713
28/05/2018;7750;31,12;33,55005574
04/06/2018;7750;31,5;32,88796145
11/06/2018;7750;28,98;32,50979673
18/06/2018;7750;35,3;34,9585156
25/06/2018;7750;36,12;35,05155662
02/07/2018;7750;33,6;35,34266528
09/07/2018;7750;34,5;34,86785776
16/07/2018;7750;34,78;34,76763104
23/07/2018;7750;27,88;34,77100109
30/07/2018;7750;31,78;32,89347524
06/08/2018;7750;30,34;32,59009718
13/08/2018;7750;27,64;28,56658532
20/08/2018;7750;28,64;31,72457656
27/08/2018;7750;29,24;30,88415118
03/09/2018;7750;30,34;30,43618487
10/09/2018;7750;33,06;30,40997829
17/09/2018;7750;34,08;31,13200462
24/09/2018;7750;33,6;31,93521702
01/10/2018;7750;32,5;28,97835551
08/10/2018;7750;28,86;33,34831383
15/10/2018;7750;38,34;32,12542544
22/10/2018;7750;32,96;33,81865175
29/10/2018;7750;27,44;30,17425386
05/11/2018;7750;32,34;32,83972676
12/11/2018;7750;33,52;32,70357094
19/11/2018;7750;33,54;32,92601564
26/11/2018;7750;32,34;29,68285297
03/12/2018;7750;32,16;30,40682068
10/12/2018;7750;32,8;34,29494203
17/12/2018;7750;30,98;33,88762932
24/12/2018;7750;24,82;29,68496591
31/12/2018;7750;24,32;28,35945469
07/01/2019;7750;30,42;30,66931187
14/01/2019;7750;29,86;30,60138423
21/01/2019;7750;31,16;30,39938628
28/01/2019;7750;34,16;30,6066235
04/02/2019;7750;32,16;31,57477837
11/02/2019;7750;31,96;31,73422817
18/02/2019;7750;34,24;31,79574208
25/02/2019;7750;31,86;32,4617059
04/03/2019;7750;29,56;32,29776479
11/03/2019;7750;32,38;31,55183193
18/03/2019;7750;31,98;31,77747505
25/03/2019;7750;33,28;31,8326551
01/04/2019;7750;31,62;32,22699947
08/04/2019;7750;32,88;32,06161607
15/04/2019;7750;29,68;25,46369504
22/04/2019;7750;24,16;30,02292093
29/04/2019;7750;25,7;28,42550635
06/05/2019;7750;32,46;31,0933626
13/05/2019;7750;33,28;31,46571736
20/05/2019;7750;33,52;31,96003778
27/05/2019;7750;33,82;32,38506592
03/06/2019;7750;32,28;32,77602883
10/06/2019;7750;26,26;25,8199822
17/06/2019;7750;28,08;29,35031886
24/06/2019;7750;31,66;32,41465628
01/07/2019;7750;30,14;32,20904222
08/07/2019;7750;32,56;31,64530987
15/07/2019;7750;32,84;31,89452683
22/07/2019;7750;32,74;32,15213096
29/07/2019;7750;31,34;32,31230207
05/08/2019;7750;29,48;32,04738813
12/08/2019;7750;25,32;27,93742701
19/08/2019;7750;29,14;30,63473062
26/08/2019;7750;27,66;30,22747551
02/09/2019;7750;29,6;29,52793976
09/09/2019;7750;31,1;29,54757333
16/09/2019;7750;32,36;29,97054833
23/09/2019;7750;33,48;30,62157961
30/09/2019;7750;30,14;27,98993719
07/10/2019;7750;31,62;31,98619363
14/10/2019;7750;31,2;31,88642032
21/10/2019;7750;33,1;31,69939787
28/10/2019;7750;28,5;28,6705575
04/11/2019;7750;32,88;32,03453649
11/11/2019;7750;30,8;32,03453649
18/11/2019;7750;34,04;32,03453649
25/11/2019;7750;30,54;28,62408731
02/12/2019;7750;21,02;28,62408731
09/12/2019;7750;32,58;32,03453649
16/12/2019;7750;34,76;32,03453649
23/12/2019;7750;23,8;28,62408731
30/12/2019;7750;29,36;28,62408731
06/01/2020;7750;33,02;32,03453649
13/01/2020;7750;32,46;32,03453649
20/01/2020;7750;31,72;32,03453649
27/01/2020;7750;31,52;32,03453649
03/02/2020;7750;30,26;32,03453649
10/02/2020;7750;29,98;32,03453649
17/02/2020;7750;31,06;32,03453649
24/02/2020;7750;27,12;32,03453649
02/03/2020;7750;29,26;32,03453649
09/03/2020;7750;28,52;32,03453649
16/03/2020;7750;22,8;32,03453649
23/03/2020;7750;18,56;32,03453649
30/03/2020;7750;13,46;32,03453649
06/04/2020;7750;11,22;25,21363814
13/04/2020;7750;12,18;32,03453649
20/04/2020;7750;14,52;28,62408731
27/04/2020;7750;13,6;28,62408731
04/05/2020;7750;16,88;32,03453649
11/05/2020;7750;22,1;32,03453649
18/05/2020;7750;27;32,03453649
25/05/2020;7750;27,2;32,03453649
01/06/2020;7750;17;32,03453649
08/06/2020;7750;10,62;25,21363814
15/06/2020;7750;16,68;32,03453649
22/06/2020;7750;15,94;32,03453649
29/06/2020;7750;15,4;32,03453649
06/07/2020;7750;14,32;32,03453649
13/07/2020;7750;14,46;32,03453649
20/07/2020;7750;13,58;32,03453649
27/07/2020;7750;13,86;32,03453649
03/08/2020;7750;16,04;32,03453649
10/08/2020;7750;16,56;28,62408731
17/08/2020;7750;16,28;32,03453649
24/08/2020;7750;17,26;32,03453649
31/08/2020;7750;17,44;32,03453649
07/09/2020;7750;16,74;32,03453649
14/09/2020;7750;17,74;32,03453649
21/09/2020;7750;17,34;32,03453649
28/09/2020;7750;17,88;32,03453649
05/10/2020;7750;17,22;28,62408731
12/10/2020;7750;19,92;32,03453649
19/10/2020;7750;18,28;32,03453649
26/10/2020;7750;17,88;28,62408731
10/04/2017;7751;40,96;0
17/04/2017;7751;43,84;48,01005302
24/04/2017;7751;39,36;42,26385291
01/05/2017;7751;41,2;41,0966707
08/05/2017;7751;42,4;44,65821298
15/05/2017;7751;45,08;43,91483171
22/05/2017;7751;43,68;44,28665325
29/05/2017;7751;47,18;44,09591513
05/06/2017;7751;43,64;41,53349535
12/06/2017;7751;36,4;38,6636687
19/06/2017;7751;48,96;45,01097253
26/06/2017;7751;44,22;46,23677158
03/07/2017;7751;45,42;45,61098255
10/07/2017;7751;44,42;45,55173235
17/07/2017;7751;43,98;45,20065398
24/07/2017;7751;45,24;44,82200578
31/07/2017;7751;41,58;44,95166563
07/08/2017;7751;39,1;43,90580002
14/08/2017;7751;36,3;38,88983508
21/08/2017;7751;39,94;41,6117403
28/08/2017;7751;38,62;41,09318261
04/09/2017;7751;42,56;40,32602561
11/09/2017;7751;43,24;41,01898242
18/09/2017;7751;42;41,70792007
25/09/2017;7751;42,14;41,79852037
02/10/2017;7751;41,74;38,37919616
09/10/2017;7751;43,06;42,94693194
16/10/2017;7751;46,18;42,98200453
23/10/2017;7751;43,82;43,97399096
30/10/2017;7751;40,02;40,4009767
06/11/2017;7751;40,1;43,80804931
13/11/2017;7751;38,5;42,65784924
20/11/2017;7751;42,02;41,36812571
27/11/2017;7751;35,04;38,04508284
04/12/2017;7751;35,28;37,11293599
11/12/2017;7751;40,52;40,06962525
18/12/2017;7751;38,78;40,20932703
25/12/2017;7751;33,34;36,24071618
01/01/2018;7751;37,24;35,34094283
08/01/2018;7751;41,76;39,4552593
15/01/2018;7751;40,62;40,17016697
22/01/2018;7751;39,44;40,30970071
29/01/2018;7751;40,02;40,03992819
05/02/2018;7751;40,18;40,03374666
12/02/2018;7751;38,36;40,079113
19/02/2018;7751;40,46;39,54586122
26/02/2018;7751;17,7;39,82941799
05/03/2018;7751;44,7;32,96509234
12/03/2018;7751;43,4;36,60514413
19/03/2018;7751;44,1;38,71284093
26/03/2018;7751;37,4;33,33338857
02/04/2018;7751;44,52;41,64530664
09/04/2018;7751;46,6;42,53700796
16/04/2018;7751;44,68;43,79730774
23/04/2018;7751;42,1;40,54586231
30/04/2018;7751;41,08;41,02794038
07/05/2018;7751;43,84;44,56933656
14/05/2018;7751;45,84;44,3431036
21/05/2018;7751;46,2;44,807426
28/05/2018;7751;43,2;41,71414082
04/06/2018;7751;47,16;42,17503958
11/06/2018;7751;43,02;43,72132479
18/06/2018;7751;46,84;47,0290286
25/06/2018;7751;46,54;46,97039381
02/07/2018;7751;46,22;46,83688992
09/07/2018;7751;44,96;46,6455368
